MGI symbol	NCBI gene ID	Gene Synonym
Gm15356		
Gm15355		ENSMUSG00000047706
Gm5979		
Gm8096		
Khk	16548	
Gm48233		
1700008N11Rik		
Gm45751		
Ifit2	15958	Ifi54
Emp3	13732	H-4
Emp3	13732	H4
Emp3	13732	HNMP-1
Emp3	13732	MI-35
Emp3	13732	Ymp
Gm44107		
Ap1s1	11769	AP19
Kcne3	57442	2210017H05Rik
Kcne3	57442	MiRP2
1700049E22Rik	73395	
Rarres2	71660	0610007L05Rik
Rarres2	71660	chemerin
Stk26	70415	2610018G03Rik
Stk26	70415	Mst4
Gm12290		
Ifit3b		I830012O16Rik
Vmn2r116		EG619697
Vmn2r116		V2Rp5
Slc5a8	216225	SMCT
Ifit3	15959	Ifi49
Gm42413		
Gm11535		
Gm6461		
Gm50135		
Gm19680		
Hoxb13		
Gm5944		
D730002M21Rik		
Gm7910		
Ifit1bl1	667373	Gm14446
Ccnh	66671	6330408H09Rik
Gm14903		
Gm14906		
Gm31912		
Gm47815		
Gm43853		
Gm4859		
Sobp	109205	2900009C16Rik
Sobp	109205	5330439J01Rik
Sobp	109205	jc
Sobp	109205	Jxc1
Gm11539		
Gm9317		
Gm53		LOC193022
Gm42526		
Gm49064		
Gm43587		
Gm44336		
Utp14b-ps1		
Gm16253		
Gm13323		
Gm7908		
1700085D07Rik		
Gm43213		
Polr3gl	69870	2010003I19Rik
Gm29246		
Gm29245		
4930594C11Rik	77633	
H2al2a	68231	1700113O17Rik
H2al2a	68231	H2afb1
H2al2a	68231	H2AL2
H2al2a	68231	Tseg1
4930478K11Rik		
Gm17060		
Hhipl1	214305	1600002O04Rik
Hs3st3a1	15478	3Ost3a
Ptk2	14083	Fadk
Ptk2	14083	FAK
Ptk2	14083	FRNK
Chst2		C130041E03Rik
Chst2		Gn6st
Chst2		GST-2
Chst2		N-acetylglucosamine-6-O-sulfotransferase
Gm2805		
Gm5548		
Gm45442		
Gm9712		
Gm7067		
Frmd7	385354	EG665849
Frmd7	385354	LOC385354
Gm34821		
9230117E06Rik		
Ccdc114	211535	
Gm12291		
Gm37805		
A430050A11Rik		
Gm9525		
Gm12292		
4930518J20Rik		
Gm8449		
2310022A10Rik	66367	
Gm15651		
Gm19193		
Tuba3b		M[a]7
Tuba3b		Tuba7
Gm49952		
Ddx49	234374	R27090_2
Thoc1	225160	3110002N20Rik
Thoc1	225160	NMP-84
Tdrd5	214575	
Gm30251		
Vmn2r-ps134		Gm6099
Tex35	73435	1700057K13Rik
Gm49565		
Gm30097		
Vegfa	22339	Vegf
Vegfa	22339	VEGF-A
Vegfa	22339	VEGF120
Vegfa	22339	VEGF164
Vegfa	22339	VEGF188
Vegfa	22339	VPF
Atad2b	320817	1110014E10Rik
Atad2b	320817	D530031C13Rik
Ikbkg	16151	1110037D23Rik
Ikbkg	16151	IKK[g]
Ikbkg	16151	NEMO
Dgkg	110197	2900055E17Rik
Dgkg	110197	Dagk3
Dgkg	110197	E430001K23Rik
Lrat	79235	1300010A18Rik
		
Lrrc61	243371	
Rhbdf1	13650	Dist
Rhbdf1	13650	Dist1
Rhbdf1	13650	Egfr-rs
Bcl7b	12054	
Rbm46os		4930444E23Rik
Rbm46os		4930564K09Rik
Rbm46os		Lratos
Gm15704		
Gin1	252876	4930429M06
Gin1	252876	4930429M06Rik
Gin1	252876	Zh2c2
Gm38022		
Gm38322		
Rassf8	71323	5133400D11Rik
Rassf8	71323	mHoj-1
Bmf	171543	
Mir205hg		4631405K08Rik
Gm21362		
Armc10	67211	2810037C14Rik
Gm14907		
Gm14904		
Gm44388		
Gm16348		
Hdhd3	72748	2810435D12Rik
Fgg	99571	3010002H13Rik
Fgg	99571	gamma-fibrinogen
Xrcc2	57434	4921524O04Rik
Xrcc2	57434	8030409M04Rik
Xrcc2	57434	RecA
4931406C07Rik	70984	
Cpxcr1	382239	LOC382239
Gm29520		
Xdh	22436	xanthine oxidase
Xdh	22436	XO
Xdh	22436	Xor
Xdh	22436	Xox-1
Xdh	22436	Xox1
Ephx2	13850	Eph2
Ephx2	13850	sEH
Ephx2	13850	sEP
1700031F10Rik		
Tspan1	66805	9030418M05Rik
Gm43142		
Tmem147	69804	2010004E11Rik
Tmem147	69804	5033425B17Rik
Dnajb8	56691	1700016F14Rik
Dnajb8	56691	mDj6
Gm45071		
Txndc12	66073	0610040B21Rik
Txndc12	66073	ERp16
Gm14016		
Gm48746		
H2ab2	624153	EG624153
H2ab2	624153	H2A.Bbd4
H2ab2	624153	H2afb2
H2ab2	624153	H2afb2-ps
Rpp40	208366	D8Bwg1265e
Rpp40	208366	Rnasep1
Gm16373		
Gm14919		
Olfr183	258478	GA_x54KRFPKG5P-55229158-55230087
Olfr183	258478	MOR183-2
Wbp2nl	74716	4930521I23Rik
Wbp2nl	74716	PAWP
H2ab1	100039319	ENSMUSG00000067441
H2ab1	100039319	H2A.Bbd1
H2ab1	100039319	H2afb1
Vwa5a	67776	5830475I06Rik
Vwa5a	67776	BCSC-1
Vwa5a	67776	Loh11cr2a
Gm14918		
Fip1l1	66899	1300019H17Rik
Fip1l1	66899	Rje
Gm14913		
Gm6491		
Gm30052		
Gm28579		
Gm29865		
Gm14911		ENSMUSG00000048241
Kti12	100087	1110001A12Rik
Gm14914		
Olfr375-ps1		GA_x6K02T2NY7Y-28043698-28044627
Olfr375-ps1		MOR203-8P
Ankrd34a	545554	Ankrd34
Cts7-ps		Cts1-ps
Trappc3	27096	1110058K12Rik
Trappc3	27096	Bet3
Olfr184-ps1		GA_x54KRFPKG5P-55236960-55236094
Olfr184-ps1		MOR0-9P
4930402H05Rik		
Asb8	78541	4930539L19Rik
Asb8	78541	C430011H06Rik
Ckb	12709	B-CK
Ckb	12709	Ck-3
Gm48127		
Gm47825		
Gm12344		
Cav3	12391	Cav-3
Cav3	12391	M-caveolin
Gm14917		
Gm17540		
Gm12345		
Mrpl23-ps1		Gm13671
Efcab5	319634	4930563A03Rik
Gm48114		
Cyp46a1	13116	cholestrol 24-hydroxylase
Cyp46a1	13116	Cyp46
Gm13672		
Otoa	246190	
Gm8100		
Clrn2		EG624224
Oxtr	18430	OTR
Gramd1b	235283	A930008A22Rik
Vmn2r117	619788	EG619788
Vmn2r117	619788	V2Rp6
Dap	223453	4921531N22Rik
Gm42522		
Gm31510		Gm44558
Gm43789		
Aldh2	11669	Ahd-5
Aldh2	11669	Ahd5
Gm43233		
Gm36211		
Gm6500		
Dkk2	56811	
Snhg12	100039864	2310005L22Rik
Gm15545		
Zfp458	238690	Rslcan-7
Robo3	19649	Rbig1
Robo3	19649	Rig-1
Robo3	19649	Rig1
Robo3	19649	Robo3a
Robo3	19649	Robo3b
Glis1	230587	GliH1
Bcl2l12	75736	2810475P17Rik
Bcl2l12	75736	5430429M05Rik
Bcl2l12	75736	Bcl-L12
Bcl2l12	75736	Bcl2-L12
Gm28948		
D7Ertd443e	71007	4933400E14Rik
Slmap	83997	D330001L02Rik
Slmap	83997	Miranda
Slmap	83997	Slap
Gm45571		
Gm8110		
Adamts18	208936	E130314N14Rik
Gm15519		EG434076
Gm5075		
Rb1	19645	pRb
Rb1	19645	Rb
Rb1	19645	Rb-1
Rb1	19645	retinoblastoma 1
Cyp3a16	13114	
Fads3		
Serpine1	18787	PAI-1
Serpine1	18787	PAI1
Serpine1	18787	Planh1
Gm12951		
Vars	22321	Bat-6
Vars	22321	Bat6
Vars	22321	D17H6S56E
Vars	22321	G7a
Vars	22321	Vars2
Pik3r3	18710	p55
Pik3r3	18710	p55pik
Fam53a	74504	2410018C17Rik
Fam53a	74504	5430419M09Rik
Fam53a	74504	DNTNP
Irf3	54131	C920001K05Rik
Irf3	54131	IRF-3
Gpx3	14778	EGPx
Gpx3	14778	extracellular GPx
Gpx3	14778	GPx
Gpx3	14778	plasma GPx
Gm42863		
4930538L07Rik	78029	
Cyp3a41b	100041375	
Tmprss7	208171	B230219I23Rik
Tmprss7	208171	LOC385645
Tmprss7	208171	matriptase-3
A130071D04Rik		
Gm35360		
Gzmb	14939	CCP-1/C11
Gzmb	14939	CCP1
Gzmb	14939	Ctla-1
Gzmb	14939	Ctla1
Gzmb	14939	GZB
Ptprc	19264	B220
Ptprc	19264	CD45
Ptprc	19264	Ly-5
Ptprc	19264	Lyt-4
Ptprc	19264	T200
Gm49302		
Gm41148	105245749	
Gabra2	14395	C630048P16Rik
Gabra2	14395	Gabra-2
Gm43381		
Ccdc184		AI836003
6330549D23Rik		
Bag6	224727	2410045D21Rik
Bag6	224727	Bat3
Bag6	224727	D17H6S52E
Bag6	224727	G3
Bag6	224727	Scythe
Lix1l		D130027M04Rik
Klrb1f	232408	A630024B12Rik
Klrb1f	232408	Nkrp1f
Gm17669		
Cptp	79554	Gltpd1
Spire1	68166	6030430B19Rik
Spire1	68166	Spir-1
Gm14916		
Gm14912		
Gm14915		
Gm43909		
Gm47899		
Bhlhe41	79362	6430520M22Rik
Bhlhe41	79362	Bhlhb3
Bhlhe41	79362	DEC2
Bhlhe41	79362	Sharp1
Lpar6	67168	2610302I02Rik
Lpar6	67168	P2ry5
Lpar6	67168	P2y5
Col8a2	329941	
Evx2	14029	Evx-2
Gm17233		
Llph-ps1		Gm12952
1700042G07Rik	67323	
Gm16400		
Gm15167		
4930447J18Rik	73961	
Rcbtb2	105670	2610028E02Rik
Rcbtb2	105670	2810420M18Rik
Rcbtb2	105670	Chc1l
Rcbtb2	105670	Rc/btb2
1700055D18Rik	73405	
Itga3	16400	alpha3-integrin
Itga3	16400	VLA-3 alpha 3
Gm49337		
Gm18068		
Pik3r4	75669	p150
Pik3r4	75669	Vps15
Hoxd13	15433	Hox-4.8
Hoxd13	15433	spdh
4930503O07Rik	74942	
Zbtb5	230119	9430083K24Rik
Megf6	230971	2600001P17Rik
Megf6	230971	Egfl3
Gm5578		
Gm49303		
Gm42879		
Gm18473		
4930554G22Rik		
Gm8289		
		
1700012D14Rik	75479	
Olfr752-ps1		GA_x6K02T2PRF8-337889-337128
Olfr752-ps1		MOR220-4P
4930425K10Rik	73865	
Gm16578	105245508	
Slc25a18	71803	1500015I14Rik
Gpatch8	237943	5430405G24Rik
Gpatch8	237943	ENSMUSG00000075516
Gpatch8	237943	Fbm1
Gpatch8	237943	Gpatc8
Lynx1	23936	
Gpx2-ps1		
Hrh2	15466	H2r
Pgm2l1	70974	4931406N15Rik
Pgm2l1	70974	BM32A
Gm5108		
Gm45378		
5430402P08Rik		
Mbp	17196	golli-mbp
Mbp	17196	Hmbpr
Mbp	17196	jve
Gm5338		
Gm12578		
Gm12579		
Gm12580		
Pkd1	18763	PC-1
Pkd1	18763	PC1
Pkd1	18763	polycystin-1
F630042J09Rik		
Ik	24010	MuRED
Gm18042		
Gm37290		
Gm43992		
Ccdc138	76138	6230424H07Rik
Gm44000		
Gm43027		
Gm19231		
Gm48483		
Olfr267		GA_x6K02T2N78B-1272842-1273783
Olfr267		MOR262-1
Gm48200		
Rad21	19357	SCC1
Gm45064		
Gm49304		
Dnmt3a-ps1		
Gm2546		
Gm5305		Gm44218
Gm37806		
Vamp1	22317	lew
Vamp1	22317	Syb-1
Vamp1	22317	Syb1
Vamp1	22317	VAMP-1
Vamp1	78668	lew
Vamp1	78668	Syb-1
Vamp1	78668	Syb1
Vamp1	78668	VAMP-1
Gm44219		
Gm49305		
Atp6v1e1	11973	2410029D23Rik
Atp6v1e1	11973	Atp6e
Atp6v1e1	11973	Atp6e2
Atp6v1e1	11973	Atp6v1e
Atp6v1e1	11973	D6Ertd385e
Atp6v1e1	11973	E2
Atp6v1e1	11973	H(+)-ATPase E-like protein
Atp6v1e1	11973	H+ ATPase subunit E
Atp6v1e1	11973	lysosomal 31kDa
Gm38195		
Gm49306		
Mdk-ps1		Mak-rs1
Gm37576		
Gm12494		
Gm11628		
Gm4598		
Gm18719		
2200007N16Rik		
Gm6055		
Npy	109648	0710005A05Rik
Gm26795		
Gm49880		
Me3	109264	1700020C08Rik
Me3	109264	B230207H15Rik
Gm15128	434863	
Srd5a2		5ART2
Ctsm-ps2		
Gm9276		
Gm47848		
Gm10851		
Vax1		
Gm37975		
Gm6677		
Gm8684		
Gm31084	102633401	
8030453O22Rik		
Gm18007		
Habp2	226243	FSAP
Gm49026		
Gm6680		
Gm43326		
Pfkfb3	170768	E330010H22Rik
Pfkfb3	170768	uPFK-2
Pibf1	52023	1700017E21Rik
Pibf1	52023	4930513H15Rik
Pibf1	52023	4933438D16Rik
Pibf1	52023	4933439E17Rik
Pibf1	52023	D14Ertd581e
Gm42880		
Dennd2a	209773	B930096L08Rik
Gm11627		
Gm15442		ENSMUSG00000074556
Gm3455		
Oaz2	18247	antizyme 2
Oaz2	18247	AZ-2
Oaz2	18247	AZ2
Oaz2	18247	Oaz2-ps
Oaz2	18247	Sez15
Cnep1r1	382030	5033428A16Rik
Cnep1r1	382030	Tmem188
Gm18952		
Gm49881		
Gm17953		
Gm5277		
Gm37537		
Setd5	72895	2900045N06Rik
Gm37098		
Gm10291		
Olfr1010		GA_x6K02T2Q125-47228321-47229256
Olfr1010		GA_x6K02T2Q125-47232672-47233052
Olfr1010		MOR213-1
Olfr1010		MOR213-1_p
Olfr1010		MOR213-7P
Olfr1010		Olfr1011
Gm9762		
Pus1	56361	A730013B20Rik
Pus1	56361	MPUS1
Pus1	56361	mPus1p
Gm47945		
Pld1	18805	Pld1a
Pld1	18805	Pld1b
Cyp2c40	13099	
Gm7898		
Fbxw21	320082	E330009P21Rik
Gm50071		
Gm37674		
Plxna2	18845	2810428A13Rik
Plxna2	18845	OCT
Plxna2	18845	PlexA2
Plxna2	18845	Plxn2
Appl1	72993	2900057D21Rik
Appl1	72993	7330406P05Rik
Zfp213		D17Ertd197e
Pwwp2b	101631	D7Ertd517e
Pwwp2b	101631	D930023J19Rik
Pwwp2b	101631	Pwwp2
G6pdx		G28A
G6pdx		G6pd
G6pdx		Gpdx
Tsc2	22084	Nafld
Tsc2	22084	tuberin
Tsc2	22084	tuberous sclerosis 2
Casp16		Casp16
Casp16		Casp16-ps
Casp16		Gm5146
Cd27	21940	Cd27
Cd27	21940	S152
Cd27	21940	Tnfrsf7
Cd27	21940	Tp55
Selenok-ps7		Gm20159
Gm13770		
Gm3267		
Gm15744		
Gimd1	433653	Gm5549
Gm8668		
6330415G19Rik		
Gm45793		
Gm32486		Gm45329
A230065N10Rik		
Ncald	52589	D030020D09Rik
Ncald	52589	D15Ertd412e
Xaf1	327959	
Hoxd12	15432	Hox-4.7
Hoxd12	15432	Hox-5.6
Slc12a8	171286	E330020C02Rik
Clec2e	232409	Clra
Gm9402		
Gm48615		
Hoxd10	15430	Hox-4.5
Hoxd10	15430	Hox-5.3
Mmp11	17385	ST3
Mmp11	17385	Stmy3
Mmp11	17385	stromelysin 3
Abhd2		2210009N18Rik
Abhd2		LABH2
Hoxb9	15417	Hox-2.5
Atp12a	192113	Atp1al1
Atp12a	192113	ATPase H+K+-transporting, alpha 2
Atp12a	192113	cHKA
Atp12a	192113	HKalpha2
Gm28309		
Nxf2	83454	4930455N06Rik
Nxf2	83454	Nxf-b
Hoxd11	15431	E230017H14Rik
Hoxd11	15431	Hox-4.6
Hoxd11	15431	Hox-5.4
Hoxd11	15431	Hox-5.5
Dis3	72662	2810028N01Rik
1700110K17Rik		
Ccdc171	320226	4930418J05Rik
Ccdc171	320226	4930473A06Rik
Ccdc171	320226	A330015D16Rik
Gm13132		
Vmn2r82		EG624845
Gm49092		
Gm49454		
Hoxb8	15416	Hox-2.4
Cnn2-ps		Gm17876
Gm47516		
Gm48129		
Ifit1bl2	112419	2010002M12Rik
Gm28779		
Gm5055		
Tapbpl		TAPBPL-R
Gm6799		
Gm32023		
Gm16001	108169069	
Aars	234734	
Sirt5	68346	0610012J09Rik
Sirt5	68346	1500032M05Rik
Gm6801		
Hoxb7	15415	Hox-2.3
Eif3e	16341	48kDa
Eif3e	16341	eIF3-p46
Eif3e	16341	eIF3-p48
Eif3e	16341	Eif3s6
Eif3e	16341	Int6
Gm49861		
Cyp3a63-ps		
Stk36	269209	1700112N14Rik
Stk36	269209	Fused
Gm10873		
1700084D21Rik		
Gm41115		
Lnx1	16924	
Olfr1012		GA_x6K02T2Q125-47239120-47238185
Olfr1012		MOR213-6
Hoxb5os	75395	0610040B09Rik
Hoxb5os	75395	Hoxb5/6as
Gm44919		
Adamtsl3	269959	9230119C12Rik
Adamtsl3	269959	punctin-2
Gm49817		
Gm44639		
Hoxb5	15413	Hox-2.1
Snx31	66696	4631426E05Rik
Gm39041		Gm44557
Gm44579		
Fmnl2	71409	5430425K04Rik
Fmnl2	71409	man
Iscu	66383	2310020H20Rik
Iscu	66383	Nifun
Gm867	333670	LOC327769
Gm867	333670	LOC333670
Hcrt	15171	orexin A
Hcrt	15171	orexin B
Nrap	18175	
Olfr287		GA_x6K02T2NBG7-5548201-5549154
Olfr287		MOR286-1
Gm49332		
Gm15559		
Olfr1013	258757	GA_x6K02T2Q125-47248551-47249468
Olfr1013	258757	MOR213-2
Adprhl2		Arh3
Eif3c		110kDa
Eif3c		3230401O13Rik
Eif3c		Eif3s8
Eif3c		NIPIL(A3)
Eif3c		Xs
Eif3c		Xsl
Hoxb6	15414	Hox-2.2
Vav2	22325	2810040F13Rik
Olfr1014		GA_x6K02T2Q125-47255337-47256254
Olfr1014		MOR213-5
Chchd10	103172	1620401E04Rik
Chchd10	103172	Ndg2
Ifit1	15957	Ifi56
Ifit1	15957	ISG56
Gm47015		
Trmt11	73681	2410075D05Rik
Trmt11	73681	3110045I18Rik
Ghdc	80860	D11Lgp1e
2900035J10Rik		
Gm36200		
Gm37783		
Olfr288	545140	GA_x6K02T2NBG7-5568919-5569857
Olfr288	545140	MOR286-3P
Nphs2	170484	podocin
Gm42608		
Gm38036		
Hoxb4	15412	Hox-2.6
Gm42609		
Fzd2	57265	Fz10
Fzd2	57265	Mfz10
Fzd2	57265	Mfz10a
Gm42607		
Gm19969		
E230001N04Rik		
Gm19817		
Gckr	231103	GKRP
Ssc4d	109267	C330016E03Rik
Ssc4d	109267	Srcrb4d
Gm49882		
Apoa2	11807	Alp-2
Apoa2	11807	Apoa-2
Apoa2	11807	ApoA-II
Apoa2	11807	Hdl-1
Dclk1	13175	1700113D08Rik
Dclk1	13175	2810480F11Rik
Dclk1	13175	Click-I
Dclk1	13175	CPG16
Dclk1	13175	Dcamkl1
Dclk1	13175	Dcl
Dclk1	13175	DCLK
Gm49883		
Galnt18	233733	2900011G21Rik
Galnt18	233733	Galntl4
Gm20109	102641455	
Gm11636		
Renbp	19703	
2810433D01Rik		
Gm26968		
Dnajb9		ERdj4
Dnajb9		Mdg1
Dnajb9		mDj7
Dnajb9		microvascular endothelial differentiation gene
Cbx3-ps3		OTTMUSG00000000828
Cyp3a41a	53973	Cyp3a41
Cyp3a41a	53973	steroid inducible
Gm27046		
Psmb5-ps		
Synj2bp		activin receptor interacting protein 2
Synj2bp		ARIP2
Synj2bp		D12Wsu118e
Synj2bp		OMP25
Gm42876		
Gm2000		
Gm42872		
Meioc	268491	Gm1564
Meioc	268491	LOC268491
Meioc	268491	LOC380729
Aimp1	13722	9830137A06Rik
Aimp1	13722	AIMP1/p43
Aimp1	13722	Emap2
Aimp1	13722	EMAPII
Aimp1	13722	Scye1
Gm26935		
Tmem147os		C630016N16Rik
Axdnd1	77352	9430070O13Rik
Axdnd1	77352	LOC381304
Rin2	74030	2010003K16Rik
Rin2	74030	4632403N06Rik
Rin2	74030	RASSF4
Gm2027		
Gm47096		
Sbsn	282619	1110005D19Rik
Tmco1		1190006A08Rik
Tmco1		4930403O06Rik
Tmco1		ESTM39
Pnpla8	67452	1200006O19Rik
Pnpla8	67452	iPLA2 gamma
Hoxb2	103889	Hox-2.8
Hoxb2	103889	Hoxbes2
Mbd3	17192	
4930556I23Rik		
Gm28221		
4930470B04Rik		
4930447A16Rik	74892	
Gm12691		
Gm19863		
2010300C02Rik	72097	
Gm12692		
Hoxb3	15410	Hox-2.7
Gm12787		
Gm9316		
Gm14902		
Msantd2	235184	2810450G17Rik
Msantd2	235184	9530092B10Rik
Msantd2	235184	BC024479
Memo1	76890	0610016J10Rik
Memo1	76890	D930048L02Rik
Gm15940		
Col12a1	12816	
Gm15941		
0610025J13Rik		
Gm2178		
Gm17191		
Gm17092		
Sspnos		Gm15705
Adam4	11498	tMDCV
Lin52	217708	5830457H20Rik
Carnmt1	67383	2410127L17Rik
Gm43931		
Sspn	16651	Krag
Hoxb3os		Gm11530
Cpn1	93721	0610011F20Rik
Cpn1	93721	50 kDa
Cpn1	93721	CPN
Hnrnpd	11991	Auf1
Hnrnpd	11991	Hnrpd
Gm20498		
Exosc6	72544	2610510N21Rik
Exosc6	72544	Mtr3
Tbck	271981	1700120J03Rik
Tbck	271981	A630047E20Rik
Tbck	271981	C030007I09Rik
Gm11536		
Gm49311		
Rab9	56382	2410064E05Rik
Rab9	56382	SID 99
Gm15942		
Gm49397		
Cox7b2	78174	4930503B16Rik
Gm48756		
Mrps18a	68565	1110004O20Rik
Edar	13608	
Gm47963		
Gm15081		
Rps12-ps5		Gm9122
Actr3b	242894	ARP11
Actr3b	242894	Arp3b
Gapdhs	14447	Gapd-s
Gapdhs	14447	Gapds
Gm5639		
Thap8		1700020L13Rik
Gm8501		
Ssr4	20832	Trap
Gstm3	14864	Fsc2
Gstm3	14864	mGSTM5
Myh13	544791	EO Myosin
Myh13	544791	extraocular myosin
Myh13	544791	MyHC-eo
Gm50429		
Gm45015		
Inca1	103844	
Kcnk18		LOC332396
Kcnk18		Tresk
Kcnk18		Tresk-2
Gm3695		
Crtc2	74343	4632407F12Rik
Gm7580		
Wdr62	233064	2310038K02Rik
Wdr62	233064	b2b1508Clo
Cox16	66272	1810020G14Rik
Cox16	66272	1810055I05Rik
Slco3a1	108116	5830414C08Rik
Slco3a1	108116	Anr1
Slco3a1	108116	MJAM
Slco3a1	108116	OATP-D
Slco3a1	108116	Slc21a11
Gm45588		
Aars2	224805	Aarsl
Rsph9	75564	1700027N10Rik
4921511C10Rik	70924	
Gm42941		
Atp1a1	11928	Atpa-1
Rapgef2	76089	5830453M24Rik
Rapgef2	76089	CNRasGEF
Rapgef2	76089	nRapGEP
Rapgef2	76089	Pdzgef1
Rapgef2	76089	RA-GEF-1
Tmem147os		C630016N16Rik
Gm48425		
Acad12	338350	9330129D05Rik
Gm5426		
4930459C07Rik	74881	
Pde4d	238871	9630011N22Rik
Pde4d	238871	Dpde3
Pde4d	238871	dunce
Gm11763		
AA645442		
Gm48623		
C530005A16Rik		
Gm33782		
Gm11764		
Serinc4	574418	A930015D22Rik
Gm48427		
Gm35215	102638721	
Ccdc17	622665	1100001F07Rik
Gm48428		
Gm47052		
Gm48622		
Gm9903		EG433873
Fcer1g	14127	Fce1g
Fcer1g	14127	FcepsilonRI
Fcer1g	14127	FcR-gamma
Fcer1g	14127	FcRgamma
Fcer1g	14127	FcR[g]
Fcer1g	14127	Ly-50
1700024P04Rik	69382	H2bl1
1700024P04Rik	69382	SubH2Bv
Gm48926		
D030056L22Rik	225995	
Cplx2	12890	921-L
Cplx2	12890	Gm34843
Gm19777		
Klrb1-ps1		Nkrp1e
Ccdc43	52715	2610001E01Rik
Ccdc43	52715	D11Ertd707e
Gm35279	102638802	
A930014D07Rik		
Gm14766		
Gm30127		
Gm19236		
Rpl13-ps1		Gm11441
Ppp1r3g	76487	1600032L17Rik
Usp32	237898	2900074J03Rik
Usp32	237898	6430526O11Rik
Gm42196		Gm45681
Hoxb1	15407	Hox-2.9
Cyp2c69		AI098658
Fbxo39	628100	1700010H23Rik
BB019430		
Sipa1l2	244668	
Gm47061		
Gm6494		
Gm26688		
Gm50202		
Gm11531		
Socs1	12703	Cish1
Socs1	12703	Cish7
Socs1	12703	JAB
Socs1	12703	JAK-binding protein
Socs1	12703	JAK2-binding protein
Socs1	12703	SOCS-1
Socs1	12703	SSI-1
Socs1	12703	STAT-induced STAT inhibitor 1
Tfap2a	21418	Ap-2 (a)
Tfap2a	21418	AP-2 alpha
Tfap2a	21418	Ap2
Tfap2a	21418	AP2alpha
Tfap2a	21418	Ap2tf
Tfap2a	21418	Tcfap2a
Aacs	78894	2210408B16Rik
Gm41506	105246172	
Mad2l1bp	66591	0610009D16Rik
Mad2l1bp	66591	2510031P20Rik
Mad2l1bp	66591	CMT2A
Mad2l1bp	66591	CMT2B
Tnik	665113	1500031A17Rik
Tnik	665113	4831440I19Rik
Tnik	665113	C530008O15Rik
Tnik	665113	C630040K21Rik
Gm43626		
Gpbp1l1	77110	5330440M15Rik
Tcte1	21645	D17Sil1
Tcte1	21645	Tcte-1
Tnp2		Tp-2
Tnp2		TP2
Cep76		6230425F05Rik
Gm11529		
Gm42937		
Gm6964		
R3hdm2	71750	1300003K24Rik
Smc4	70099	2500002A22Rik
Smc4	70099	Smc4l1
Gm14761		
Tmem151b	210573	LOC210573
Prm3	19120	PX
Prm3	19120	Pxg
Gm14762		
Gm29261		
Ell3	269344	
Gm16248		
Slc18a2	214084	1110037L13Rik
Slc18a2	214084	Vmat2
Prm2	19119	Prm-2
Aard	239435	
Nudt7	67528	1300007B24Rik
Nudt7	67528	2210404C19Rik
Hdac3	15183	
Gm11637		
Hspe1-ps2		10kDa
Hspe1-ps2		Cpn10-rs3
Gm28370		
Gm16342		
Rap1b	215449	2810443E11Rik
Cyp2c71-ps		
Gm4787		
6530401F13Rik		
5430427O19Rik	71398	
Gm10343		
Gm46563		
Cyp3a44		
Gm14048		
D030018L15Rik		
Prm1	19118	Prm-1
Gm14772		EG667825
4930402H24Rik	228602	
Gm29704		
4930564D02Rik	75269	
Gm2387		
Olfr1015		GA_x6K02T2Q125-47264151-47265089
Olfr1015		MOR213-3
Cyp2c37	13096	
Serf2	378702	4F5rel (4F5 related)
Serf2	378702	m4F5rel
Gm47531		
Ajuba	16475	Jub
Gm32255		
Gm19089		
Gm12788		
Gm9240		
Vmn2r83		EG625029
Gm7424		
4930486N12Rik		
Gm37366		
Gm45079		
Kcnd3	56543	Kv4.3
Kcnd3	56543	potassium channel Kv4.3L
Kcnd3	56543	potassium channel Kv4.3M
Cd46	17221	CD46
Cd46	17221	Mcp
Cyp2c23	226143	Cyp2c44
Samt3	73495	1700072E05Rik
Nprl3	17168	-14 gene
Nprl3	17168	HS-26
Nprl3	17168	HS-40
Nprl3	17168	m(alpha)RE
Nprl3	17168	Mare
Nprl3	17168	Phg
Nprl3	17168	Prox1
Armc12		4930511I11Rik
Gm15229		EG245693
Gm37667		
Vdac1	22333	Vdac5
Rab3b	69908	
Gm7543		
Slc16a12	240638	
Olfr1016		GA_x6K02T2Q125-47278889-47277960
Olfr1016		MOR213-9
Gm15223		
Thoc3	73666	2410044K02Rik
Zfp609	214812	
Cgref1	68567	1110004G24Rik
Cgref1	68567	CGR11
Gm12497		
4833422M21Rik		
Gm15080		
Nelfb	58202	A730008L03Rik
Nelfb	58202	Cobra1
Gm18425		
Pdyn	18610	Dyn
Gm11439		
Gm11440		
2610037D02Rik		
Gm47057		
2310020H05Rik	69603	
Hesx1	15209	HES-1
Hesx1	15209	Rpx
Olfr1017-ps1		GA_x6K02T2Q125-47287645-47286713
Hypk		2310003F16Rik
Clec4f	51811	Clecsf13
Clec4f	51811	D18063
Clec4f	51811	kupffer cell receptor
Gm13720		
Trmt61a	328162	6720458F09Rik
Cyp2c54	404195	
Ly6d	17068	Ly-61
Ly6d	17068	Ly61
Ly6d	17068	Thb
Lmna	16905	Dhe
Lmna	16905	lamin A/C
Olfr1018		GA_x6K02T2Q125-47301584-47302519
Olfr1018		MOR260-5
Clec2d	93694	Clr-b
Clec2d	93694	Clrb
Clec2d	93694	Ocil
8030443G20Rik		
Gm15108		
Olfr1019	259017	GA_x6K02T2Q125-47320309-47319377
