HGNC symbol	NCBI gene ID	Gene Synonym
PAK1IP1	55003	hPIP1
PAK1IP1	55003	MAK11
PAK1IP1	55003	PIP1
PAK1IP1	55003	WDR84
DLGAP5	9787	DLG1
DLGAP5	9787	DLG7
DLGAP5	9787	HURP
DLGAP5	9787	KIAA0008
PHF13	148479	MGC43399
SPX	80763	C12orf39
SPX	80763	MGC10946
SPX	80763	NPQ
SPX	80763	spexin
VN1R54P		
		
		
OR2T5	401993	
		
		
ZUP1	221302	C6orf113
ZUP1	221302	dJ412I7.3
ZUP1	221302	ZUFSP
		
OR2AS2P		
MCOLN1	57192	ML4
MCOLN1	57192	MLIV
MCOLN1	57192	MST080
MCOLN1	57192	MSTP080
MCOLN1	57192	TRPM-L1
MCOLN1	57192	TRPML1
		
		
ZNF33B	7582	KOX2
ZNF33B	7582	KOX31
ZNF33B	7582	ZNF11B
		
EML5	161436	EMAP-2
EML5	161436	HuEMAP-2
		
	105372569	
LINC02276		
		
		
SSTR4	6754	
KCNK17	89822	K2p17.1
KCNK17	89822	TALK-2
KCNK17	89822	TALK2
KCNK17	89822	TASK-4
KCNK17	89822	TASK4
		
ZNF622	90441	MGC17552
ZNF622	90441	MGC2485
ZNF622	90441	ZPR9
ATP6V0E1P2		
PLEKHA5	54477	FLJ10667
PLEKHA5	54477	KIAA1686
PLEKHA5	54477	PEPP2
FZD7	8324	FzE3
RPS27P16		
		
ARMC10P1		
		
G3BP2	9908	KIAA0660
PGAM1P9		
CDC6	990	CDC18L
SRD5A3	79644	FLJ13352
SRD5A3	79644	SRD5A2L
SRD5A3	79644	SRD5A2L1
FAT3	120114	CDHF15
FAT3	120114	CDHR10
FAT3	120114	KIAA1989
LINC00672		
		
		
		
GYS2	2998	
LINC01518		
TBX6	6911	
		
		
		
		
LINC01176		
		
		
FCF1P8		
NSDHL	50814	H105e3
NSDHL	50814	SDR31E1
NSDHL	50814	XAP104
		
		
		
		
ANXA10	11199	ANX14
SRD5A3-AS1		
		
		
LARP4	113251	PP13296
ANKRD65	441869	
RPL12P1		CICK0721Q.1
RPL12P1		dJ570F3.5
RPL12P1		RPL12-L
		
KIFC1	3833	HSET
KIFC1	3833	KNSL2
ZNRF2	223082	RNF202
ZNF385D-AS1		
ZNF385D-AS2		
		
GBP5	115362	
ZNF385D	79750	FLJ22419
ZNF385D	79750	ZNF659
CTNNB1	1499	armadillo
CTNNB1	1499	beta-catenin
CTNNB1	1499	CTNNB
POLR3A	11128	hRPC155
POLR3A	11128	RPC1
POLR3A	11128	RPC155
APH1B	83464	APH-1B
APH1B	83464	DKFZp564D0372
APH1B	83464	PSFL
THBD	7056	CD141
LDHB	3945	
		
		
		
		
OR2G6	391211	
TMEM14C	51522	bA421M1.6
TMEM14C	51522	C6orf53
TMEM14C	51522	HSPC194
TMEM14C	51522	NET26
		
SHLD2P2		FAM35A2
SHLD2P2		FAM35AP
SHLD2P2		FAM35CP
MTTP	4547	ABL
MTTP	4547	MTP
GPD1L	23171	KIAA0089
		
		
RPS3AP42		
LINC02788		
LINC01763		
NOTCH2NLB	100996763	
ZSWIM9	374920	C19orf68
ZSWIM9	374920	LOC374920
PNPLA6	10908	iPLA2delta
PNPLA6	10908	NTE
PNPLA6	10908	SPG39
PNPLA6	10908	sws
LINC02609		
PPP1R14C	81706	CPI17-like
PPP1R14C	81706	KEPI
PPP1R14C	81706	NY-BR-81
ACY1	95	
PPIP5K2	23262	CFAP160
PPIP5K2	23262	DFNB100
PPIP5K2	23262	HISPPD1
PPIP5K2	23262	KIAA0433
PPIP5K2	23262	VIP2
		
		
		
RPS17P14		
PLPPR4	9890	KIAA0455
PLPPR4	9890	LPPR4
PLPPR4	9890	PHP1
PLPPR4	9890	PRG-1
GALC	2581	
		
ACSL3-AS1		
EIF3E	3646	eIF3-p48
EIF3E	3646	eIF3e
EIF3E	3646	EIF3S6
EIF3E	3646	INT6
NBPF14	25832	DJ328E19.C1.1
MUC21	394263	C6orf205
MUC21	394263	KMQK697
MUC21	394263	MUC-21
MUC21	394263	bCX31G15.2
MUC21	394263	C6orf205
LINC02386		
ACSL3	2181	ACS3
ACSL3	2181	FACL3
ACSL3	2181	PRO2194
		
		
TLK1	9874	KIAA0137
TLK1	9874	PKU-BETA
TMEM88B	643965	
CEP170B	283638	Cep170R
CEP170B	283638	FAM68C
CEP170B	283638	KIAA0284
		
		
		
		
FBXO47	494188	
		
		
OR10T2	128360	
STAM2	10254	Hbp
OR10K2	391107	
		
		
LINC01770		
MOG	4340	BTN6
MOG	4340	BTNL11
		
		
		
		
NMI	9111	
LDHAP4		LDHAL4
		
		
CRYAA2	102724652	
ZNF865	100507290	
CLCN3P1		
VWA1	64856	FLJ22215
VWA1	64856	VWA-1
VWA1	64856	WARP
		
NRBF2P2		
MXI1	4601	bHLHc11
MXI1	4601	MAD2
MXI1	4601	MXD2
MXI1	4601	MXI
XCR1	2829	CCXCR1
XCR1	2829	GPR5
BHMG1	388553	HMGDC
OR7E39P		hg611
OR7E39P		OR7E138P
		
C1orf141	400757	
		
ZNF784	147808	MGC75238
FAF2	23197	ETEA
FAF2	23197	KIAA0887
FAF2	23197	UBXD8
FAF2	23197	UBXN3B
		
OR10T1P		
RPL30P2		
TMEM176A	55365	HCA112
TMEM176A	55365	MS4B1
LINC02079		
EI24P2		
FLT1P1		LOC391533
ZC3H14	79882	FLJ11806
ZC3H14	79882	NY-REN-37
ZC3H14	79882	UKp68
OR10K1	391109	
RBISP1		C8orf59P1
DCAF16	54876	C4orf30
DCAF16	54876	FLJ20280
LY9	4063	CD229
LY9	4063	hly9
LY9	4063	mLY9
LY9	4063	SLAMF3
TEF	7008	KIAA1655
ATG12P2		
TACSTD2	4070	EGP-1
TACSTD2	4070	GA733-1
TACSTD2	4070	M1S1
TACSTD2	4070	TROP2
		
RPL12P20		
TRAF7	84231	DKFZp586I021
TRAF7	84231	MGC7807
TRAF7	84231	RFWD1
TRAF7	84231	RNF119
		
IL23R	149233	IL-23R
ADRB2	154	ADRB2R
ADRB2	154	ADRBR
ADRB2	154	B2AR
ADRB2	154	BAR
ZNF580	51157	
ABCC13		ABCC13P
ABCC13		C21orf73
ABCC13		PRED6
NCF1B		SH3PXD1B
LIMCH1	22998	DKFZP686A01247
LIMCH1	22998	LIMCH1A
LIMCH1	22998	LMO7B
OCEL1	79629	FLJ22709
WDR82P1		hCG26824
WDR82P1		SW2
WDR82P1		WDR82
WDR82P1		WDR82B
		
LINC00879		
CCDC106	29903	HSU79303
CA11	770	CARP2
CA11	770	CARPX1
CFAP46	54777	bA288G11.4
CFAP46	54777	bA288G11.5
CFAP46	54777	bB137A17.2
CFAP46	54777	bB137A17.3
CFAP46	54777	C10orf123
CFAP46	54777	C10orf124
CFAP46	54777	C10orf92
CFAP46	54777	C10orf93
CFAP46	54777	DKFZp434A1721
CFAP46	54777	FLJ25954
CFAP46	54777	TTC40
RPL6P27		
		
TMEM176B	28959	LR8
TMEM176B	28959	MS4B2
LINC01387		C18orf64
		
UQCC2	84300	bA6B20.2
UQCC2	84300	C6orf125
UQCC2	84300	Cbp6
UQCC2	84300	M19
UQCC2	84300	MGC14833
UQCC2	84300	MNF1
WDR12	55759	FLJ10881
WDR12	55759	YTM1
		
LEAP2	116842	LEAP-2
BLM	641	BS
BLM	641	RECQ2
BLM	641	RECQL3
FAM180A	389558	HWKM1940
FAM180A	389558	UNQ1940
ARNTL2-AS1		
		
DAZAP2P1		
		
ITPR3	3710	IP3R3
KIAA2012	100652824	
MTHFD1	4522	MTHFC
MTHFD1	4522	MTHFD
SLC13A4	26266	SUT-1
SLC13A4	26266	SUT1
ARNTL2	56938	bHLHe6
ARNTL2	56938	BMAL2
ARNTL2	56938	CLIF
ARNTL2	56938	MOP9
ARNTL2	56938	PASD9
		
ADAMTS14	140766	
		
OR10R3P		
OR10R2	343406	OR10R2Q
SRRM1	10250	MGC39488
SRRM1	10250	POP101
SRRM1	10250	SRM160
MED15P3		
CASKIN1	57524	ANKS5A
CASKIN1	57524	KIAA1306
		
ZNF581	51545	FLJ22550
ZNF581	51545	HSPC189
LINC01120		
MYO10	4651	KIAA0799
RPSAP11		LAMR
RPSAP11		LAMR1P11
RPSAP11		LAMRL1
RPSAP11		LAMRP1
PSMA2P3		PSMA2L
		
KIAA2012-AS1		
		
		
		
IL15	3600	IL-15
IL15	3600	MGC9721
STMP1	647087	C7orf73
STMP1	647087	PL-5283
		
MYLPF	29895	HUMMLC2B
MYLPF	29895	MRLC2
MYLPF	29895	MYL11
LINC01879		
LINC00599		Rncr3
ARL2BPP1		HsT2883
		
OR2T29	343563	
		
SEC1P		
GNAQP1		GNAQP
		
		
		
OR2AS1P		
CCND3P2		
		
YPEL3	83719	MGC10500
NOC2LP2		
		
GBP6	163351	DKFZp686G0786
OR2T34	127068	
OSBPL7	114881	MGC71150
OSBPL7	114881	ORP7
SRP72P1		
LINC02837	101928144	
IGHMBP2	3508	CATF1
IGHMBP2	3508	CMT2S
IGHMBP2	3508	HCSA
IGHMBP2	3508	HMN6
IGHMBP2	3508	SMARD1
IGHMBP2	3508	SMUBP2
IGHMBP2	3508	ZFAND7
PSMB7	5695	Z
CAPNS1P1		
		
SYTL2	54843	CHR11SYT
SYTL2	54843	exophilin-4
SYTL2	54843	FLJ20163
SYTL2	54843	FLJ21219
SYTL2	54843	KIAA1597
SYTL2	54843	MGC102768
SYTL2	54843	PPP1R151
SYTL2	54843	SGA72M
SYTL2	54843	SLP2
C17orf112		
VARS1	7407	VARS
VARS1	7407	VARS2
RPSAP48		
		
MTCO1P40		
NTN5	126147	
SIMC1	375484	C5orf25
SIMC1	375484	FLJ44216
SIMC1	375484	OOMA1
SIMC1	375484	PLEIAD
		
		
		
LINC02621		
		
MSRA	4482	
		
		
		
RPS2P48		
KIF2B	84643	
		
		
LINC02054		
		
		
RHOQP2		
		
KRT18P15		KRT18L5
		
CMTM8	152189	CKLFSF8
ZNF236-DT		
LINC02419		
	22891	
EPHB3	2049	ETK2
EPHB3	2049	Hek2
EPHB3	2049	Tyro6
		
		
		
		
		
		
NDUFB9P3		
EMC2	9694	KIAA0103
EMC2	9694	TTC35
		
TTLL2	83887	C6orf104
TTLL2	83887	dJ366N23.3
TTLL2	83887	NYD-TSPG
		
		
		
TOB2	10766	APRO5
TOB2	10766	bK223H9
TOB2	10766	TOB4
TOB2	10766	TOBL
TOB2	10766	TROB2
TUBA3D	113457	H2-ALPHA
		
ATF3	467	
ADAM5		ADAM5P
ADAM5		tMDCII
		
		
		
COA4	51287	CHCHD8
COA4	51287	CMC3
COA4	51287	E2IG2
GTF2IRD2P1		GTF2IRD2P
ZNF365	22891	KIAA0844
ZNF365	22891	UAN
THPO	7066	MGDF
THPO	7066	MPLLG
THPO	7066	TPO
TCP10		
RPL12P1		CICK0721Q.1
RPL12P1		dJ570F3.5
RPL12P1		RPL12-L
FAM186A	121006	LOC121006
KIFC1	3833	HSET
KIFC1	3833	KNSL2
CTAGE11P		
HSPB3	8988	HSPL27
LINC01078		
SPACA7	122258	C13orf28
		
MZT2A	653784	FAM128A
MZT2A	653784	MOZART2A
		
		
TDRD15	100129278	
RPL12P4		dJ800C24.1
		
PAAF1	80227	FLJ11848
PAAF1	80227	Rpn14
PAAF1	80227	WDR71
		
		
HSPA2	3306	
LINC01166		
		
PHF5A	84844	bK223H9.2
PHF5A	84844	INI
PHF5A	84844	MGC1346
PHF5A	84844	Rds3
PHF5A	84844	SAP14b
PHF5A	84844	SF3b14b
PHF5A	84844	SF3B7
		
LINC01167		TCONS_00018075
		
		
LINC01168		
DMWD	1762	D19S593E
DMWD	1762	DMR-N9
DMWD	1762	gene59
ZBTB1	22890	KIAA0997
ZBTB1	22890	ZNF909
CIITA	4261	C2TA
CIITA	4261	MHC2TA
CIITA	4261	NLRA
ZNF560	147741	FLJ31986
MAOB	4129	
RCOR3	55758	FLJ10876
CCR3	1232	CC-CKR-3
CCR3	1232	CD193
CCR3	1232	CKR3
CCR3	1232	CMKBR3
ADGRA1	84435	GPR123
ADGRA1	84435	KIAA1828
PANK4	55229	FLJ10782
POM121B		
BRCC3P1		
		
		
		
		
		
		
KCNJ1	3758	Kir1.1
KCNJ1	3758	ROMK1
DM1-AS		
		
		
		
SH3BGRL2	83699	
AKAP5	9495	AKAP75
AKAP5	9495	AKAP79
		
		
PAQR9	344838	FLJ41938
		
CCR1	1230	CD191
CCR1	1230	CKR-1
CCR1	1230	CMKBR1
CCR1	1230	MIP1aR
CCR1	1230	SCYAR1
SEPHS1	22929	SPS
SEPHS1	22929	SPS1
LINC01822		
ADGRA1-AS1		GPR123-AS1
	105372268	
		
		
PAQR9-AS1		
ZBTB25	7597	C14orf51
ZBTB25	7597	KUP
ZBTB25	7597	ZNF46
		
		
RPSAP47		
		
DMPK	1760	DM
DMPK	1760	DM1
DMPK	1760	DM1PK
DMPK	1760	DMK
DMPK	1760	MDPK
DMPK	1760	MT-PK
ZNF566	84924	FLJ14779
ZNF566	84924	MGC12515
		
		
		
AGTRAP	57085	ATRAP
SLC25A51P3		MCART5P
		
UQCRC2P1		
NUTF2P2		
		
		
		
		
		
CHRD	8646	
		
BRMS1L	84312	BRMS1
BRMS1L	84312	FLJ39177
BRMS1L	84312	MGC11296
CFAP57	149465	FLJ32000
CFAP57	149465	WDR65
		
KCNK16	83795	K2p16.1
KCNK16	83795	TALK-1
KCNK16	83795	TALK1
NUTF2P8		
ZSCAN10	84891	ZNF206
U2SURP	23350	fSAPa
U2SURP	23350	SR140
LINC01884		
C3orf20	84077	DKFZP434N1817
ZNF48	197407	DKFZp762K013
ZNF48	197407	FLJ31751
ZNF48	197407	MGC43952
ZNF48	197407	ZNF553
		
		
NOXA1	10811	FLJ25475
NOXA1	10811	NY-CO-31
NOXA1	10811	SDCCAG31
		
		
CNNM4	26504	ACDP4
CNNM4	26504	KIAA1592
ANGPTL1	9068	ANG3
ANGPTL1	9068	ANGPT3
ANGPTL1	9068	AngY
ANGPTL1	9068	ARP1
SDC1	6382	CD138
SDC1	6382	SDC
SDC1	6382	SYND1
SDC1	6382	syndecan
SEPTIN1	1731	DIFF6
SEPTIN1	1731	PNUTL3
SEPTIN1	1731	SEPT1
		
		
		
KRT8P34		
ILF2P2		
TBATA	219793	C10orf27
TBATA	219793	FLJ32820
TBATA	219793	spatial
		
CLIC4	25932	CLIC4L
CLIC4	25932	DKFZP566G223
CLIC4	25932	H1
CLIC4	25932	huH1
CLIC4	25932	P64H1
CTBP2P7		
		
		
RALGPS2	55103	FLJ10244
RALGPS2	55103	FLJ25604
RALGPS2	55103	KIAA0351
GPR62	118442	
CENPP	401541	CENP-P
CENPP	401541	RP11-19J3.3
C4B-AS1		
GNG7	2788	FLJ00058
		
CFB	629	BF
CFB	629	BFD
CFB	629	H2-Bf
CMTM6	54918	CKLFSF6
CMTM6	54918	FLJ20396
PCBP4	57060	LIP4
PCBP4	57060	MCG10
MLLT6	4302	AF17
MLLT6	4302	FLJ23480
ENTPD8	377841	NTPDase-8
ENTPD8	377841	UNQ2492
ELOCP28		TCEB1P28
CMTM7	112616	CKLFSF7
CMTM7	112616	FLJ30992
		
		
YWHABP2		
IPPK	64768	C9orf12
IPPK	64768	FLJ13163
IPPK	64768	INSP5K2
IPPK	64768	IP5K
IPPK	64768	IPK1
		
		
TSG101	7251	TSG10
TSG101	7251	VPS23
DICER1	23405	Dicer
DICER1	23405	HERNA
DICER1	23405	K12H4.8-LIKE
DICER1	23405	KIAA0928
DICER1	23405	MNG1
ADIG	149685	MGC39724
ADIG	149685	RP5-1100H13.2
ADIG	149685	SMAF1
		
EBNA1BP2	10969	EBP2
EBNA1BP2	10969	NOBP
EBNA1BP2	10969	P40
		
MIOX	55586	ALDRL6
RPL21P50		
		
IKZF3	22806	Aiolos
IKZF3	22806	ZNFN1A3
LINC01091		
		
LINC01450		
LINC01449		
		
LINC01440		
		
CD24	100133941	CD24A
		
ASPN	54829	FLJ20129
ASPN	54829	PLAP-1
ASPN	54829	SLRR1C
		
CCR2	729230	CC-CKR-2
CCR2	729230	CD192
CCR2	729230	CKR2
CCR2	729230	CMKBR2
CCR2	729230	FLJ78302
CCR2	729230	MCP-1-R
RPS26P28		
SEMA3B-AS1		
		
		
		
		
SMN2	6606	BCD541
SMN2	6606	GEMIN1
SMN2	6606	SMNC
SMN2	6606	TDRD16B
SMN2	6607	BCD541
SMN2	6607	GEMIN1
SMN2	6607	SMNC
SMN2	6607	TDRD16B
RETREG1	54463	FAM134B
RETREG1	54463	FLJ20152
RETREG1	54463	JK1
LINC01608		TCONS_00015136
		
		
		
ADGRD2	347088	GPR144
ADGRD2	347088	PGR24
CNNM3-DT		LOC100506036
EPHB4	2050	HTK
EPHB4	2050	Tyro11
MTCO1P42		
TMEM125	128218	MGC17299
NUDT4B	440672	NUDT4P1
SRRT	51593	ARS2
SRRT	51593	Asr2
SRRT	51593	serrate
ZNF136	7695	pHZ-20
LINC01441		
CKS1BP7		CKS1
CKS1BP7		CKS1A
SEC22B3P		SEC22B3
ZNF704	619279	FLJ16218
ZNF704	619279	Gig1
		
FBXO3	26273	FBA
FBXO3	26273	FBX3
CBX3P8		
PTPN2P1		PTPN2P
PTPN2P1		PTPTP1
OMD	4958	osteoadherin
OMD	4958	SLRR2C
		
TYRL		
		
RARA	5914	NR1B1
RARA	5914	RAR
		
NRXN1	9378	Hs.22998
NRXN1	9378	KIAA0578
MTCO1P47		
CUBNP1		
OGN	4969	mimecan
OGN	4969	OIF
OGN	4969	SLRR3A
		
NDP-AS1		
DUX4L52		
NDP	4693	EVR2
NDP	4693	norrin
		
LINC02632		
FAM71A	149647	FLJ32796
HMGB1P41		
DEXI	28955	MYLE
		
		
		
CCR5	1234	CC-CKR-5
CCR5	1234	CD195
CCR5	1234	CKR-5
CCR5	1234	CKR5
CCR5	1234	CMKBR5
CCR5	1234	IDDM22
LDHAL6A	160287	LDH6A
LDHAL6A	160287	MGC23940
		
		
LINC02773		
		
CCR5AS		
ISCA1P3		
ZNF382	84911	FLJ14686
ZNF382	84911	KS1
DIRAS1	148252	Di-Ras1
DIRAS1	148252	GBTS1
DIRAS1	148252	RIG
		
		
		
LINC01070		
		
		
LINC01043		
SND1-IT1		C7orf54
SND1-IT1		NAG8
SND1-IT1		NSG-X
		
		
CA12	771	HsT18816
BATF3	55509	JDP1
BATF3	55509	JUNDM1
BATF3	55509	SNFT
LINC01044		
SND1	27044	p100
SND1	27044	TDRD11
		
SURF2	6835	
		
		
GFOD2	81577	FLJ23802
GFOD2	81577	MGC11335
GART	2618	GARS-AIRS-GART
GART	2618	PGFT
GART	2618	PRGS
TTLL9	164395	C20orf125
TTLL9	164395	dJ310O13.1
		
SLC39A3	29985	ZIP3
		
HMGB1P5		HMG1L5
HMGB1P5		HMGB1L15
HMGB1P5		HMGB1L5
HMGB1P5		HMGB1P2
		
ECM2	1842	
ARL2BPP8		
		
		
KCNJ6	3763	BIR1
KCNJ6	3763	GIRK2
KCNJ6	3763	hiGIRK2
KCNJ6	3763	KATP2
KCNJ6	3763	KCNJ7
KCNJ6	3763	Kir3.2
UBE2V1P1		dJ687F11.3
RANP7		
		
SALL4P5		
EPHX2	2053	ABHD20
C20orf194	25943	DKFZp434N061
C2	717	
RPL24P7		
ARHGAP40	343578	C20orf95
ARHGAP40	343578	dJ1100H13.4
MARCHF9	92979	FLJ36578
MARCHF9	92979	MARCH9
MARCHF9	92979	RNF179
		
LRRC37A11P		LRRC37F
DDR1	780	CAK
DDR1	780	CD167
DDR1	780	EDDR1
DDR1	780	NEP
DDR1	780	NTRK4
DDR1	780	PTK3A
DDR1	780	RTK6
DSCR4		DCRB
SURF1	6834	
CYP3A43	64816	
ZNF529	57711	KIAA1615
DSCR4-IT1		
AGAP2	116986	CENTG1
		
KCNJ6-AS1		KCNJ6-IT1
		
		
		
		
		
CRB1	23418	LCA8
CRB1	23418	RP12
UBE2E2-AS1		
MORC1	27136	CT33
MORC1	27136	MORC
MORC1	27136	ZCW6
ATAT1	79969	C6orf134
ATAT1	79969	Em:AB023049.7
ATAT1	79969	FLJ13158
ATAT1	79969	MEC17
		
ZNF529-AS1		
		
SLC12A9-AS1		RP11-126L15.4
PSMD2	5708	MGC14274
PSMD2	5708	P97
PSMD2	5708	Rpn1
PSMD2	5708	S2
PSMD2	5708	TRAP2
ODC1-DT		lncRNA-MIF
PHKA1P1		
SLC12A9	56996	CIP1
		
FZD10-AS1		FLJ31485
FZD10-AS1		FZD10-DT
		
		
ZNF260	339324	ozrf1
ZNF260	339324	Zfp260
PYCR3	65263	FLJ13852
PYCR3	65263	PYCRL
		
UBE2V2P4		
THRAP3	9967	BCLAF2
THRAP3	9967	TRAP150
FZD10	11211	CD350
PEAR1	375033	FLJ00193
PEAR1	375033	JEDI
PEAR1	375033	MEGF12
LRRC4	64101	NAG14
		
RRM2P3		
		
EFHC2	80258	FLJ22843
EFHC2	80258	MRX74
		
		
NSMCE3	56160	HCA4
NSMCE3	56160	MAGEG1
NSMCE3	56160	MAGEL3
NSMCE3	56160	NDNL2
NSMCE3	56160	NSE3
		
KRT8P19		
		
CHRNA4	1137	BFNC
CHRNA4	1137	EBN
CHRNA4	1137	EBN1
		
FAM189A1	23359	KIAA0574
FAM189A1	23359	TMEM228
USP15	9958	KIAA0529
USP15	9958	UNPH4
		
PIWIL1	9271	CT80.1
PIWIL1	9271	HIWI
PIWIL1	9271	PIWI
ZNF44	51710	KOX7
ZNF44	51710	ZNF504
ZNF44	51710	ZNF55
ZNF44	51710	ZNF58
AFG3L2	10939	SCA28
AFG3L2	10939	SPAX5
TATDN2P1		
TIGD5	84948	FLJ14926
PDRG1	81572	C20orf126
PDRG1	81572	dJ310O13.3
SIX5	147912	DMAHP
AGAP2-AS1	100130776	LOC100130776
AGAP2-AS1	100130776	PUNISHER
ANKDD1B	728780	
		
		
CDK4	1019	PSK-J3
SERINC3	10955	AIGP1
SERINC3	10955	DIFF33
SERINC3	10955	SBBI99
SERINC3	10955	TDE
SERINC3	10955	TDE1
SERINC3	10955	TMS-1
COMMD5	28991	FLJ13008
COMMD5	28991	HCaRG
COMMD5	28991	HT002
MICB	4277	PERB11.2
UGT8	7368	CGT
		
MORC1-AS1		
NAPRT	93100	NAPRT1
NAPRT	93100	PP3856
MIR924HG		LINC00669
		
CIR1P2		
		
ZNF7	7553	HF.16
ZNF7	7553	KOX4
TUBB6	84617	HsT1601
TUBB6	84617	MGC4083
		
RSU1P1		Y214H10.6
NDST4	64579	
		
DUXAP3		
		
		
DUSP15	128853	bA243J16.5
DUSP15	128853	bA243J16.6
DUSP15	128853	C20orf57
DUSP15	128853	FLJ20645
DUSP15	128853	VHY
ABHD14A-ACY1	100526760	
		
		
		
ATAD3C	219293	FLJ34599
		
DGKZ	8525	DAGK5
DGKZ	8525	DAGK6
DGKZ	8525	DGK-ZETA
DGKZ	8525	hDGKzeta
CBLN4	140689	CBLNL1
CBLN4	140689	dJ885A10.1
CCNJ	54619	bA690P14.1
CCNJ	54619	FLJ10895
		
RDM1P5		
LTA	4049	LT
LTA	4049	TNFB
LTA	4049	TNFSF1
TRIM51FP		
CHMP4BP1		
POC5	134359	C5orf37
POC5	134359	FLJ35779
POC5	134359	hPOC5
POC5	134359	MGC120442
POC5	134359	MGC120443
POC5	134359	MGC120444
FBXO34	55030	Fbx34
FBXO34	55030	FLJ20725
HES5	388585	bHLHb38
PLXDC1	57125	TEM3
PLXDC1	57125	TEM7
MRPS33P3		
UNC93B2		UNC93B2P
RPF2P2		
LCORL	254251	FLJ30696
LCORL	254251	MLR1
PGAM4P2		
TSPAN31	6302	SAS
MC3R	4159	MC3
		
KRT18P21		
		
		
		
		
		
RPL7AP66		
		
CCDC88C	440193	DAPLE
CCDC88C	440193	HkRP2
CCDC88C	440193	KIAA1509
CCDC88C	440193	SCA40
CC2D2B	387707	bA248J23.4
CC2D2B	387707	bA690P14.3
CC2D2B	387707	C10orf130
CC2D2B	387707	C10orf131
DHFRP5		
GBP1P1		
		
ST8SIA6	338596	SIAT8F
		
BMS1	9790	BMS1L
BMS1	9790	KIAA0187
RPL7P60		
		
		
TNF	7124	DIF
TNF	7124	TNF-alpha
TNF	7124	TNFA
TNF	7124	TNFSF2
MRPS21P3		
NCAPG	64151	CAP-G
NCAPG	64151	FLJ12450
NCAPG	64151	hCAP-G
NCAPG	64151	YCG1
		
		
		
RAD51AP1	10635	PIR51
		
		
RIMBP2	23504	KIAA0318
RIMBP2	23504	MGC15831
RIMBP2	23504	PPP1R133
RIMBP2	23504	RBP2
RIMBP2	23504	RIM-BP2
ST8SIA6-AS1		APAL
		
		
PAG1	55824	CBP
PAG1	55824	PAG
FKBP1C		bA184C23.2
SRM	6723	SPS1
SRM	6723	SRML1
SPTLC1P3		
		
		
TRMT10BP1		
TMEM74	157753	FLJ30668
TMEM74	157753	NET36
		
CES5AP1		
		
RARA-AS1		
LGSN	51557	GLULD1
LGSN	51557	LGS
ATP9B	374868	ATPIIB
		
		
		
		
TRIM51DP		
CCRL2	9034	ACKR5
CCRL2	9034	CKRX
CCRL2	9034	CRAM-A
CCRL2	9034	CRAM-B
CCRL2	9034	HCR
		
		
		
		
RPS3P6		
GDPD3	79153	MGC4171
		
		
KLF17P1		
RPL21P104		
POLR2H	5437	RPB8
		
ENTPD1	953	ATPDase
ENTPD1	953	CD39
ENTPD1	953	NTPDase-1
ENTPD1	953	SPG64
CD244	51744	2B4
CD244	51744	NAIL
CD244	51744	NKR2B4
CD244	51744	Nmrk
CD244	51744	SLAMF4
SAMD10	140700	C20orf136
TAFA2	338811	FAM19A2
TAFA2	338811	TAFA-2
SNX18	112574	SH3PX2
SNX18	112574	SH3PXD3B
SNX18	112574	SNAG1
LTB	4050	p33
LTB	4050	TNFC
LTB	4050	TNFSF3
MYO9B	4650	CELIAC4
SERINC5	256987	C5orf12
SERINC5	256987	TPO1
DICER1-AS1		DICER1-AS
DICER1-AS1		FLJ45244
FRY-AS1		
KRT18P63		
		
		
		
		
		
MTRES1	51250	C6orf203
MTRES1	51250	HSPC230
MTRES1	51250	PRED31
		
FRY	10129	13CDNA73
FRY	10129	bA37E23.1
FRY	10129	C13orf14
FRY	10129	CG003
RFX4	5992	
		
EEF1D	1936	EF-1D
EEF1D	1936	FLJ20897
LINC01621		C6orf7
		
		
		
		
		
TNFRSF14-AS1		ENST00000416860.2
		
IMP3	55272	BRMS2
IMP3	55272	C15orf12
IMP3	55272	FLJ10968
IMP3	55272	MRPS4
		
ABHD14A	25864	DKFZP564O243
ABHD14A	25864	DORZ1
		
OR2T10	127069	
		
		
		
		
		
OR2T11	127077	OR2T11Q
SNX33	257364	MGC32065
SNX33	257364	SH3PX3
SNX33	257364	SH3PXD3C
SNX33	257364	SNX30
RPS26P40		
TNFRSF14	8764	ATAR
TNFRSF14	8764	CD270
TNFRSF14	8764	HVEA
TNFRSF14	8764	HVEM
TNFRSF14	8764	LIGHTR
TNFRSF14	8764	TR2
CHST2	9435	C6ST
OR2T35	403244	
VEGFB	7423	VEGFL
VEGFB	7423	VRF
ESM1	11082	
		
OR2T27	403239	
		
ZDHHC15	158866	DHHC15
ZDHHC15	158866	FLJ31812
ZDHHC15	158866	MRX91
		
B4GALT2	8704	beta4Gal-T2
		
PBX2P1		PBX2
PBX2P1		PBXP1
		
AHNAK2	113146	C14orf78
ATF7	11016	ATFA
ABHD14B	84836	CIB
ABHD14B	84836	MGC15429
RPL21P134		
NSUN5	55695	FLJ10267
NSUN5	55695	NOL1R
NSUN5	55695	NSUN5A
NSUN5	55695	p120(NOL1)
NSUN5	55695	WBSCR20
NSUN5	55695	WBSCR20A
NSUN5	55695	Ynl022cL
LYPD9P		
		
		
		
DNA2	1763	DNA2L
DNA2	1763	KIAA0083
		
